"Issue Type","Summary","Description","Priority","Labels","Epic Name","Epic Link"
"Story","Evaluation report UI","Per-dimension score breakdown with the specific quoted answer driving each score (a bare number gets ignored by recruiters), employer internal notes, proctoring-event display, print-to-PDF stylesheet, score-distribution chart.","Medium","interviewengine frontend","","Phase 6 - Supporting Modules"
"Story","Google OAuth and SES bounce webhook","GET /auth/google + /auth/google/callback (no oauth2-client dependency exists), GET /auth/me, POST /webhooks/ses-bounce with SNS subscription confirmation and a suppression list.

Lowest priority in this epic - email OTP already works, and bounce handling matters only at volume.","Low","interviewengine backend","","Phase 6 - Supporting Modules"
"Story","Admin panel","Company list, interview counts, cost tracking, manual wallet credit with a mandatory reason. No route, page, endpoint or API module exists.","Low","interviewengine backend frontend","","Phase 6 - Supporting Modules"
"Epic","Phase 7: Test coverage","9 of 13 backend modules have zero tests, including session lifecycle and the AI pipeline. The frontend has none at all. Target: 1 week, then ongoing.","Medium","interviewengine","Phase 7 - Testing",""
"Story","Testcontainers integration test harness","Add Testcontainers and maven-failsafe. CI already starts a Postgres service container that nothing uses. Cover the session lifecycle end-to-end first - it is the highest-value untested path.","High","interviewengine test","","Phase 7 - Testing"
"Story","Unit tests for wallet, AI and session modules","Wallet ledger invariants (reserve/settle/release, concurrent top-up), question-generation validation, evaluation scoring and weighting, session state machine transitions.","High","interviewengine test","","Phase 7 - Testing"
"Story","Frontend test setup and initial tests","jsdom, @vitest/ui and @vitest/coverage-v8 are not installed, so all three test scripts fail today. Install them, write MSW handlers, and wire npm test and eslint into CI.","Medium","interviewengine test frontend","","Phase 7 - Testing"
"Story","Coverage gate","Add JaCoCo with a floor starting at 40% and ratcheting upward, rather than picking a number nobody hits.","Low","interviewengine test","","Phase 7 - Testing"
"Story","Shadow-mode AI evaluation experiment","Score every interview with both GPT-5.4-mini and Claude Haiku 4.5, serve one to the recruiter, log both. Combine with the 'did you hire this candidate?' feedback to compute a real Pearson r per vendor over the first ~50 interviews.

Cost: ~Rs.900 for the whole experiment. Decides the evaluation vendor with data instead of a guess.","High","interviewengine ai","","Phase 7 - Testing"
"Epic","Phase 8: Observability and security hardening","Structured logging, alarms, and the security items that are not ship-blockers. Target: 3-4 days.","Medium","interviewengine","Phase 8 - Observability and Hardening",""
"Story","Structured JSON logging","application-prod.yml:71-72 claims structured JSON output, but there is no logback config file at all and the pattern references an MDC traceId that nothing populates. Add a logback JSON encoder, populate the MDC, ship to CloudWatch with 7-day retention.","High","interviewengine observability","","Phase 8 - Observability and Hardening"
"Story","Move refresh token to an HTTP-only cookie","Currently stored in localStorage and passed in the JSON body, so any XSS becomes account takeover. Move to an HTTP-only, Secure, SameSite=Strict cookie; set withCredentials: true on the client.","High","interviewengine security","","Phase 8 - Observability and Hardening"
"Story","Rate limiting and account lockout per spec","Current implementation is a 20-burst / 10-per-minute per-IP bucket over all /api/v1/**. Spec requires 5 failed logins per IP per minute with a 15-minute lockout (needs failed_attempts and locked_until columns, which do not exist) and a 3-per-15-minute OTP resend cap.

Also bound the RateLimitFilter bucket map - it grows without eviction today.","Medium","interviewengine security","","Phase 8 - Observability and Hardening"
"Story","Disable Swagger UI outside local and staging","SecurityConfig:157-158 permits /v3/api-docs/** and /swagger-ui/** in all profiles, exposing the full API surface in production. OpenApiConfig acknowledges this and recommends a conditional bean.","Medium","interviewengine security","","Phase 8 - Observability and Hardening"
"Story","Fix or remove nginx configuration","Server-level add_header directives are silently dropped by both location blocks that set their own, nullifying X-Frame-Options, X-Content-Type-Options and Referrer-Policy. No CSP, no HSTS, no client_max_body_size.

Consider removing nginx entirely - the SPA is served from CloudFront and the ALB fronts the API, so the container may not be needed in production.","Medium","interviewengine security","","Phase 8 - Observability and Hardening"
"Story","Handle ConstraintViolationException in the global handler","GlobalExceptionHandler has no ConstraintViolationException handler, so @Validated @RequestParam failures return 500 instead of 400.","Low","interviewengine backend","","Phase 8 - Observability and Hardening"
"Epic","Phase 9: Launch readiness","SES production access, load testing, compliance and pilot launch. Target: 1 week.","High","interviewengine","Phase 9 - Launch",""
"Story","SES production access","Move SES out of sandbox and configure DKIM, SPF and DMARC. START THIS EARLY - it is the longest external dependency in the plan and approval takes days.","Highest","interviewengine launch","","Phase 9 - Launch"
"Story","Load test at 50 concurrent sessions","Gatling test against the real Fargate configuration, per the PRD's 50-concurrent-session NFR. Validates that 0.5 vCPU / 1 GB tasks and the autoscaling policy hold, and that scale-in protection works under load.","High","interviewengine test launch","","Phase 9 - Launch"
"Story","Amend the data residency claim","The PRD states 'all data stored and processed in AWS ap-south-1'. This is false the moment any external LLM is called - AWS's own documentation confirms Claude on Bedrock in India uses global cross-region inference routing to AWS commercial regions worldwide, and OpenAI has no India region.

Acceptance criteria:
- Rewrite the claim in the privacy policy and customer contract to something defensible
- Obtain zero-retention / no-training terms in writing from the chosen AI vendor
- Confirm PII redaction (Phase 3) is live","High","interviewengine launch compliance","","Phase 9 - Launch"
"Story","Advisory-score disclaimer and candidate data deletion","State explicitly in the product and the MSA that the score is advisory, that InterviewEngine performs no automated rejection, and that a human makes every decision. Add the candidate data-deletion endpoint the PRD commits to but does not implement. Present the privacy policy at candidate login.","High","interviewengine launch compliance","","Phase 9 - Launch"
"Story","OWASP Top 10 review","Security review against the OWASP Top 10 checklist per the PRD's Sprint 6 plan. Add OWASP dependency-check to CI.","Medium","interviewengine security launch","","Phase 9 - Launch"
"Story","Soft launch with 3 pilot clients","Live validation with three pilot customers before general availability.","High","interviewengine launch","","Phase 9 - Launch"
